claim_id,food_id,receiver_id,food_name,quantity,provider_id,provider_type,location,meal_type,name_x,type_x,address,city_x,contact_x,name_y,type_y,city_y,contact_y,days_to_expiry,food_0,food_1,food_2
30.0,193.0,228.0,Pasta,-0.0668538136486727,354.0,0,South Alicia,0,Rowe-Arias,Catering Service,"8041 Joseph Shoal Suite 878
North Robertfurt, KY 43667",South Alicia,090-649-4737,Joanna Wilkins,Charity,Singletonview,(796)888-1488,-0.44283450392446677,False,True,False
536.0,115.0,162.0,Pasta,-1.2519579137815573,963.0,3,East Bernard,2,Johnson PLC,Supermarket,"38009 Oconnor Prairie
Janicemouth, MS 31632",East Bernard,(764)089-8990x152,Douglas Baxter,Individual,Amandaville,+1-139-598-2308x18363,0.7374280331876485,False,True,False
696.0,634.0,561.0,Bread,0.9788262747038725,205.0,1,Carlbury,0,Thompson Group,Grocery Store,"81499 Baker Valley Suite 876
Wheelerview, CT 20385",Carlbury,858-115-6375x26624,Andrea Morris,NGO,Hallton,(151)391-8350x82191,-1.6230970410365821,True,False,False
558.0,435.0,33.0,Chicken,0.002858192241496983,373.0,1,Aprilberg,2,Avila Group,Grocery Store,"099 Rodriguez Creek
Ronaldport, RI 02598",Aprilberg,001-835-594-3012x252,Anita Kerr,NGO,Walshfort,(568)992-9509,1.6816380628773409,True,False,False
837.0,25.0,228.0,Rice,1.53652232182523,898.0,2,Medinatown,0,Wilson Group,Restaurant,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272,Joanna Wilkins,Charity,Singletonview,(796)888-1488,-0.20678199650204374,False,True,False
597.0,599.0,183.0,Fruits,-0.4851258489896908,232.0,3,Muellermouth,2,"Snyder, Caldwell and Campbell",Supermarket,"652 Williams Mount
Jonesstad, WI 51744",Muellermouth,001-204-401-6159x495,Nicole Walker,Individual,Thomasland,001-617-475-6913x02561,1.6816380628773409,False,False,True
166.0,19.0,297.0,Rice,-0.9033978843307089,419.0,3,Port Peter,0,"Hanson, Wilkerson and Lee",Supermarket,"948 Evans Green
Lake Carol, GA 38897",Port Peter,759.535.5451,Deanna Daniels,Individual,Aguilarstad,001-436-929-2288,1.6816380628773409,False,True,False
919.0,623.0,841.0,Salad,0.8394022629235331,37.0,0,New Amanda,0,Phelps-Schmidt,Catering Service,"689 Riley Villages
South Jose, LA 55827",New Amanda,001-048-886-1039,Brian Reed,NGO,Amandaburgh,640.564.9498x1956,1.4455855554549177,False,False,True
496.0,599.0,404.0,Fruits,-0.4851258489896908,232.0,3,Muellermouth,2,"Snyder, Caldwell and Campbell",Supermarket,"652 Williams Mount
Jonesstad, WI 51744",Muellermouth,001-204-401-6159x495,Marissa Fischer,Shelter,New Kevin,(454)463-8142x8597,1.6816380628773409,False,False,True
825.0,31.0,590.0,Bread,1.1182502864842119,535.0,1,Valdezborough,3,Hill PLC,Grocery Store,"8470 Brandon Extension
North Rhondastad, AK 50332",Valdezborough,+1-157-982-5008x743,Terry Fernandez,Shelter,Mooreburgh,506.052.7523x43392,-0.20678199650204374,True,False,False
66.0,310.0,730.0,Rice,-0.9033978843307089,528.0,3,Markport,1,Baird PLC,Supermarket,"10521 Jared Mill Suite 659
Mccormickhaven, MO 07533",Markport,001-930-122-6265x199,Felicia Glover,Shelter,East Michael,982-844-2370,-0.6788870113468899,False,True,False
142.0,782.0,128.0,Rice,1.6062343277153996,566.0,0,New Rachel,3,Cole-Stein,Catering Service,"782 Flynn Plaza
North Francesburgh, KY 21221",New Rachel,(322)115-7175x12748,Sarah Carter,Charity,New Benjamin,001-513-018-5852,1.2095330480324946,True,False,False
926.0,43.0,72.0,Pasta,1.2576742982645512,29.0,1,Patrickmouth,2,Andrews-Wiley,Grocery Store,"37741 Edward Green Apt. 840
Whiteport, WY 68558",Patrickmouth,+1-657-214-6013x08444,Charles Davidson,Shelter,West Angelatown,+1-294-698-2957,-0.20678199650204374,False,True,False
828.0,598.0,723.0,Rice,-0.4851258489896908,981.0,2,West Stevenport,2,Glenn-York,Restaurant,"96371 Owens Mountains
North Daniellestad, WI 11685",West Stevenport,(063)458-3909x33019,Lisa Kim,Individual,New Brandyhaven,+1-465-856-2095,0.9734805406100716,True,False,False
656.0,875.0,799.0,Bread,-0.4851258489896908,721.0,0,Port Staceymouth,0,Randolph-Bauer,Catering Service,"117 Kayla Ramp Suite 638
Jenniferstad, MS 30328",Port Staceymouth,2885719618,Adam Moore,Charity,East Josephview,+1-119-080-3260x81212,1.4455855554549177,True,False,False
332.0,460.0,32.0,Dairy,1.327386304154721,202.0,3,Vazquezshire,1,Graham-Peters,Supermarket,"72444 Dennis Centers Apt. 058
East Sarahton, NM 90794",Vazquezshire,+1-491-368-1719x38393,Audrey Perez,Individual,Taylorfort,637-025-7736,-1.387044533614159,False,False,True
665.0,49.0,314.0,Fish,1.0485382805940422,700.0,3,Morriston,1,Webster and Sons,Supermarket,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236,Kelsey Smith,Shelter,Haleymouth,(764)989-3036x77897,-1.387044533614159,True,False,False
250.0,475.0,201.0,Pasta,-0.9033978843307089,357.0,3,Donnaborough,1,Carey PLC,Supermarket,"77230 Nicole Row Suite 887
East Joshua, KS 15916",Donnaborough,001-734-038-0600x959,Calvin Lucas,Individual,Corybury,4177309502,0.7374280331876485,False,False,True
